,secID,ticker,secShortName,endDate,NAV,publishDate,ACCUM_NAV,currencyCd,ADJUST_NAV,navChg,navChgPct,adjNavChgPct,partyID,partyShortName
43,510050.XSHG,510050,华夏上证50ETF,2015-03-12,2.449,2015-03-13,3.244,CNY,3.5048,0.074,3.1158,3.1157,26812,华夏基金
44,510050.XSHG,510050,华夏上证50ETF,2015-03-13,2.459,2015-03-14,3.256,CNY,3.5191,0.01,0.4083,0.408,26812,华夏基金
45,510050.XSHG,510050,华夏上证50ETF,2015-03-16,2.513,2015-03-17,3.319,CNY,3.5964,0.054,2.196,2.1965,26812,华夏基金
46,510050.XSHG,510050,华夏上证50ETF,2015-03-17,2.544,2015-03-18,3.356,CNY,3.6407,0.031,1.2336,1.2317,26812,华夏基金
47,510050.XSHG,510050,华夏上证50ETF,2015-03-18,2.609,2015-03-19,3.433,CNY,3.7337,0.065,2.555,2.5544,26812,华夏基金
48,510050.XSHG,510050,华夏上证50ETF,2015-03-19,2.59,2015-03-20,3.411,CNY,3.7065,-0.019,-0.7282,-0.7285,26812,华夏基金
49,510050.XSHG,510050,华夏上证50ETF,2015-03-20,2.639,2015-03-21,3.469,CNY,3.7767,0.049,1.8919,1.8939,26812,华夏基金
50,510050.XSHG,510050,华夏上证50ETF,2015-03-23,2.678,2015-03-24,3.515,CNY,3.8325,0.039,1.4778,1.4774,26812,华夏基金
51,510050.XSHG,510050,华夏上证50ETF,2015-03-24,2.642,2015-03-25,3.472,CNY,3.781,-0.036,-1.3443,-1.3438,26812,华夏基金
52,510050.XSHG,510050,华夏上证50ETF,2015-03-25,2.608,2015-03-26,3.432,CNY,3.7323,-0.034,-1.2869,-1.2881,26812,华夏基金
53,510050.XSHG,510050,华夏上证50ETF,2015-03-26,2.645,2015-03-27,3.476,CNY,3.7853,0.037,1.4187,1.42,26812,华夏基金
54,510050.XSHG,510050,华夏上证50ETF,2015-03-27,2.647,2015-03-28,3.478,CNY,3.7881,0.002,0.0756,0.0739,26812,华夏基金
55,510050.XSHG,510050,华夏上证50ETF,2015-03-30,2.74,2015-03-31,3.588,CNY,3.9212,0.093,3.5134,3.5136,26812,华夏基金
56,510050.XSHG,510050,华夏上证50ETF,2015-03-31,2.711,2015-04-01,3.554,CNY,3.8797,-0.029,-1.0584,-1.0584,26812,华夏基金
57,510050.XSHG,510050,华夏上证50ETF,2015-04-01,2.755,2015-04-02,3.606,CNY,3.9427,0.044,1.623,1.6238,26812,华夏基金
58,510050.XSHG,510050,华夏上证50ETF,2015-04-02,2.737,2015-04-03,3.585,CNY,3.9169,-0.018,-0.6534,-0.6544,26812,华夏基金
59,510050.XSHG,510050,华夏上证50ETF,2015-04-03,2.773,2015-04-04,3.627,CNY,3.9684,0.036,1.3153,1.3148,26812,华夏基金
60,510050.XSHG,510050,华夏上证50ETF,2015-04-07,2.843,2015-04-08,3.71,CNY,4.0686,0.07,2.5243,2.5249,26812,华夏基金
61,510050.XSHG,510050,华夏上证50ETF,2015-04-08,2.904,2015-04-09,3.782,CNY,4.1559,0.061,2.1456,2.1457,26812,华夏基金
62,510050.XSHG,510050,华夏上证50ETF,2015-04-09,2.884,2015-04-10,3.759,CNY,4.1273,-0.02,-0.6887,-0.6882,26812,华夏基金
63,510050.XSHG,510050,华夏上证50ETF,2015-04-10,2.937,2015-04-11,3.821,CNY,4.2031,0.053,1.8377,1.8365,26812,华夏基金
64,510050.XSHG,510050,华夏上证50ETF,2015-04-13,2.99,2015-04-14,3.884,CNY,4.279,0.053,1.8046,1.8058,26812,华夏基金
65,510050.XSHG,510050,华夏上证50ETF,2015-04-14,3.001,2015-04-15,3.897,CNY,4.2947,0.011,0.3679,0.3669,26812,华夏基金
66,510050.XSHG,510050,华夏上证50ETF,2015-04-15,3.002,2015-04-16,3.898,CNY,4.2962,0.001,0.0333,0.0349,26812,华夏基金
67,510050.XSHG,510050,华夏上证50ETF,2015-04-16,3.128,2015-04-17,4.048,CNY,4.4765,0.126,4.1972,4.1967,26812,华夏基金
68,510050.XSHG,510050,华夏上证50ETF,2015-04-17,3.177,2015-04-18,4.106,CNY,4.5466,0.049,1.5665,1.5659,26812,华夏基金
69,510050.XSHG,510050,华夏上证50ETF,2015-04-20,3.109,2015-04-21,4.025,CNY,4.4493,-0.068,-2.1404,-2.1401,26812,华夏基金
70,510050.XSHG,510050,华夏上证50ETF,2015-04-21,3.157,2015-04-22,4.082,CNY,4.518,0.048,1.5439,1.544,26812,华夏基金
