,secID,ticker,secShortName,adjustedType,effectDate,dividendAfTax,dividendBfTax,reinvestDate,splitRatio,publishDate,currencyCd,baseDate
0,510050.XSHG,510050,华夏上证50ETF,D,2016-11-29,0.053,0.053,,,2016-11-11,CNY,
1,510050.XSHG,510050,华夏上证50ETF,D,2017-11-28,0.054,0.054,2017-11-28,,2017-11-10,CNY,2017-10-31
2,510050.XSHG,510050,华夏上证50ETF,D,2018-12-03,0.049,0.049,,,2018-11-12,CNY,2018-10-31
3,510050.XSHG,510050,华夏上证50ETF,D,2019-12-02,0.047,0.047,,,2019-11-15,CNY,2019-10-31
4,510050.XSHG,510050,华夏上证50ETF,D,2020-11-30,0.051,0.051,,,2020-11-11,CNY,2020-10-31
5,510050.XSHG,510050,华夏上证50ETF,D,2021-11-29,0.041,0.041,,,2021-11-22,CNY,2021-10-31
