,净值,分红
20200415,2.753,0.0
20200416,2.757,0.0
20200417,2.797,0.0
20200420,2.808,0.0
20200421,2.772,0.0
20200422,2.792,0.0
20200423,2.786,0.0
20200424,2.764,0.0
20200427,2.793,0.0
20200428,2.813,0.0
20200429,2.832,0.0
20200430,2.849,0.0
20200506,2.851,0.0
20200507,2.841,0.0
20200508,2.867,0.0
20200511,2.866,0.0
20200512,2.863,0.0
20200513,2.862,0.0
20200514,2.828,0.0
20200515,2.815,0.0
20200518,2.832,0.0
20200519,2.855,0.0
20200520,2.851,0.0
20200521,2.841,0.0
20200522,2.771,0.0
20200525,2.785,0.0
20200526,2.804,0.0
20200527,2.79,0.0
20200528,2.804,0.0
20200529,2.804,0.0
20200601,2.868,0.0
20200602,2.883,0.0
20200603,2.886,0.0
20200604,2.881,0.0
20200605,2.894,0.0
20200608,2.907,0.0
20200609,2.925,0.0
20200610,2.91,0.0
20200611,2.88,0.0
20200612,2.885,0.0
20200615,2.841,0.0
20200616,2.881,0.0
20200617,2.883,0.0
20200618,2.893,0.0
20200619,2.93,0.0
20200622,2.926,0.0
20200623,2.929,0.0
20200624,2.956,0.0
20200629,2.937,0.0
20200630,2.961,0.0
20200701,3.029,0.0
20200702,3.103,0.0
20200703,3.179,0.0
20200706,3.394,0.0
20200707,3.401,0.0
20200708,3.449,0.0
20200709,3.462,0.0
20200710,3.38,0.0
20200713,3.422,0.0
20200714,3.384,0.0
20200715,3.356,0.0
20200716,3.205,0.0
20200717,3.229,0.0
20200720,3.332,0.0
20200721,3.331,0.0
20200722,3.337,0.0
20200723,3.333,0.0
20200724,3.206,0.0
20200727,3.211,0.0
20200728,3.234,0.0
20200729,3.292,0.0
20200730,3.28,0.0
20200731,3.298,0.0
20200803,3.33,0.0
20200804,3.361,0.0
20200805,3.341,0.0
20200806,3.341,0.0
20200807,3.312,0.0
20200810,3.334,0.0
20200811,3.311,0.0
20200812,3.298,0.0
20200813,3.29,0.0
20200814,3.337,0.0
20200817,3.418,0.0
20200818,3.416,0.0
20200819,3.356,0.0
20200820,3.313,0.0
20200821,3.335,0.0
20200824,3.349,0.0
20200825,3.361,0.0
20200826,3.328,0.0
20200827,3.341,0.0
20200828,3.419,0.0
20200831,3.394,0.0
20200901,3.406,0.0
20200902,3.398,0.0
20200903,3.384,0.0
20200904,3.359,0.0
20200907,3.302,0.0
20200908,3.34,0.0
20200909,3.285,0.0
20200910,3.295,0.0
20200911,3.315,0.0
20200914,3.344,0.0
20200915,3.367,0.0
20200916,3.349,0.0
20200917,3.318,0.0
20200918,3.402,0.0
20200921,3.365,0.0
20200922,3.324,0.0
20200923,3.329,0.0
20200924,3.271,0.0
20200925,3.282,0.0
20200928,3.303,0.0
20200929,3.294,0.0
20200930,3.285,0.0
20201009,3.339,0.0
20201012,3.442,0.0
20201013,3.441,0.0
20201014,3.423,0.0
20201015,3.425,0.0
20201016,3.434,0.0
20201019,3.407,0.0
20201020,3.416,0.0
20201021,3.43,0.0
20201022,3.422,0.0
20201023,3.399,0.0
20201026,3.357,0.0
20201027,3.346,0.0
20201028,3.366,0.0
20201029,3.377,0.0
20201030,3.332,0.0
20201102,3.317,0.0
20201103,3.359,0.0
20201104,3.384,0.0
20201105,3.422,0.0
20201106,3.411,0.0
20201109,3.471,0.0
20201110,3.469,0.0
20201111,3.464,0.0
20201112,3.45,0.0
20201113,3.39,0.0
20201116,3.429,0.0
20201117,3.431,0.0
20201118,3.439,0.0
20201119,3.462,0.0
20201120,3.464,0.0
20201123,3.522,0.0
20201124,3.495,0.0
20201125,3.472,0.0
20201126,3.498,0.0
20201127,3.552,0.0
20201130,3.472,0.051
20201201,3.556,0.0
20201202,3.547,0.0
20201203,3.539,0.0
20201204,3.543,0.0
20201207,3.511,0.0
20201208,3.5,0.0
20201209,3.47,0.0
20201210,3.461,0.0
20201211,3.428,0.0
20201214,3.464,0.0
20201215,3.465,0.0
20201216,3.481,0.0
20201217,3.535,0.0
20201218,3.504,0.0
20201221,3.518,0.0
20201222,3.466,0.0
20201223,3.49,0.0
20201224,3.484,0.0
20201225,3.507,0.0
20201228,3.518,0.0
20201229,3.512,0.0
20201230,3.569,0.0
20201231,3.635,0.0
20210104,3.637,0.0
20210105,3.677,0.0
20210106,3.73,0.0
20210107,3.801,0.0
20210108,3.781,0.0
20210111,3.769,0.0
20210112,3.898,0.0
20210113,3.865,0.0
20210114,3.803,0.0
20210115,3.81,0.0
20210118,3.841,0.0
20210119,3.8,0.0
20210120,3.806,0.0
20210121,3.841,0.0
20210122,3.838,0.0
20210125,3.889,0.0
20210126,3.804,0.0
20210127,3.809,0.0
20210128,3.726,0.0
20210129,3.704,0.0
20210201,3.737,0.0
20210202,3.762,0.0
20210203,3.766,0.0
20210204,3.792,0.0
20210205,3.831,0.0
20210208,3.88,0.0
20210209,3.942,0.0
20210210,4.018,0.0
20210218,4.003,0.0
20210219,4.003,0.0
20210222,3.87,0.0
20210223,3.886,0.0
20210224,3.794,0.0
20210225,3.84,0.0
20210226,3.746,0.0
20210301,3.777,0.0
20210302,3.708,0.0
20210303,3.806,0.0
20210304,3.697,0.0
20210305,3.677,0.0
20210308,3.562,0.0
20210309,3.499,0.0
20210310,3.521,0.0
20210311,3.614,0.0
20210312,3.621,0.0
20210315,3.555,0.0
20210316,3.587,0.0
20210317,3.579,0.0
20210318,3.594,0.0
20210319,3.5,0.0
20210322,3.527,0.0
20210323,3.505,0.0
20210324,3.455,0.0
20210325,3.452,0.0
20210326,3.518,0.0
20210329,3.525,0.0
20210330,3.565,0.0
20210331,3.527,0.0
20210401,3.57,0.0
20210402,3.604,0.0
20210406,3.582,0.0
20210407,3.546,0.0
20210408,3.56,0.0
20210409,3.501,0.0
20210412,3.464,0.0
20210413,3.449,0.0
20210414,3.456,0.0
20210415,3.419,0.0
20210416,3.435,0.0
20210419,3.5,0.0
20210420,3.497,0.0
20210421,3.503,0.0
20210422,3.481,0.0
20210423,3.518,0.0
20210426,3.462,0.0
20210427,3.471,0.0
20210428,3.467,0.0
20210429,3.511,0.0
20210430,3.485,0.0
20210506,3.444,0.0
20210507,3.4,0.0
20210510,3.394,0.0
20210511,3.431,0.0
20210512,3.442,0.0
20210513,3.408,0.0
20210514,3.496,0.0
20210517,3.534,0.0
20210518,3.531,0.0
20210519,3.505,0.0
20210520,3.516,0.0
20210521,3.476,0.0
20210524,3.491,0.0
20210525,3.634,0.0
20210526,3.65,0.0
20210527,3.658,0.0
20210528,3.652,0.0
20210531,3.643,0.0
20210601,3.643,0.0
20210602,3.615,0.0
20210603,3.584,0.0
20210604,3.605,0.0
20210607,3.594,0.0
20210608,3.573,0.0
20210609,3.581,0.0
20210610,3.604,0.0
20210611,3.573,0.0
20210615,3.524,0.0
20210616,3.483,0.0
20210617,3.483,0.0
20210618,3.456,0.0
20210621,3.433,0.0
20210622,3.467,0.0
20210623,3.474,0.0
20210624,3.488,0.0
20210625,3.544,0.0
20210628,3.53,0.0
20210629,3.497,0.0
20210630,3.518,0.0
20210701,3.554,0.0
20210702,3.426,0.0
20210705,3.423,0.0
20210706,3.427,0.0
20210707,3.447,0.0
20210708,3.395,0.0
20210709,3.384,0.0
20210712,3.41,0.0
20210713,3.424,0.0
20210714,3.371,0.0
20210715,3.444,0.0
20210716,3.402,0.0
20210719,3.418,0.0
20210720,3.411,0.0
20210721,3.425,0.0
20210722,3.429,0.0
20210723,3.393,0.0
20210726,3.263,0.0
20210727,3.16,0.0
20210728,3.188,0.0
20210729,3.218,0.0
20210730,3.168,0.0
20210802,3.247,0.0
20210803,3.259,0.0
20210804,3.268,0.0
20210805,3.262,0.0
20210806,3.231,0.0
20210809,3.271,0.0
20210810,3.325,0.0
20210811,3.299,0.0
20210812,3.262,0.0
20210813,3.253,0.0
20210816,3.26,0.0
20210817,3.187,0.0
20210818,3.228,0.0
20210819,3.181,0.0
20210820,3.112,0.0
20210823,3.14,0.0
20210824,3.188,0.0
20210825,3.2,0.0
20210826,3.128,0.0
20210827,3.162,0.0
20210830,3.151,0.0
20210831,3.136,0.0
20210901,3.204,0.0
20210902,3.206,0.0
20210903,3.215,0.0
20210906,3.251,0.0
20210907,3.288,0.0
20210908,3.253,0.0
20210909,3.244,0.0
20210910,3.292,0.0
20210913,3.281,0.0
20210914,3.227,0.0
20210915,3.185,0.0
20210916,3.167,0.0
20210917,3.202,0.0
20210922,3.162,0.0
20210923,3.167,0.0
20210924,3.184,0.0
20210927,3.24,0.0
20210928,3.25,0.0
20210929,3.238,0.0
20210930,3.236,0.0
20211008,3.295,0.0
20211011,3.316,0.0
20211012,3.298,0.0
20211013,3.332,0.0
20211014,3.309,0.0
20211015,3.334,0.0
20211018,3.268,0.0
20211019,3.295,0.0
20211020,3.293,0.0
20211021,3.317,0.0
20211022,3.357,0.0
20211025,3.355,0.0
20211026,3.332,0.0
20211027,3.289,0.0
20211028,3.281,0.0
20211029,3.309,0.0
20211101,3.292,0.0
20211102,3.253,0.0
20211103,3.222,0.0
20211104,3.248,0.0
20211105,3.242,0.0
20211108,3.236,0.0
20211109,3.227,0.0
20211110,3.21,0.0
20211111,3.274,0.0
20211112,3.261,0.0
20211115,3.262,0.0
20211116,3.262,0.0
20211117,3.249,0.0
20211118,3.213,0.0
20211119,3.253,0.0
20211122,3.252,0.0
20211123,3.264,0.0
20211124,3.272,0.0
20211125,3.258,0.0
20211126,3.227,0.0
20211129,3.185,0.041
20211130,3.163,0.0
20211201,3.178,0.0
20211202,3.189,0.0
20211203,3.219,0.0
20211206,3.226,0.0
20211207,3.252,0.0
20211208,3.302,0.0
20211209,3.357,0.0
20211210,3.351,0.0
20211213,3.357,0.0
20211214,3.338,0.0
20211215,3.306,0.0
20211216,3.318,0.0
20211217,3.266,0.0
20211220,3.242,0.0
20211221,3.26,0.0
20211222,3.247,0.0
20211223,3.274,0.0
20211224,3.277,0.0
20211227,3.265,0.0
20211228,3.29,0.0
20211229,3.227,0.0
20211230,3.248,0.0
20211231,3.261,0.0
